sentence,word_labels,rule_attribute,missing_words,attr_words
"Guwahati , Assam , is 16 hours by road","B-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr",duration by road,duration <EOS>,"['by', 'road']"
"In Guwahati , the earthquake lasted for 3 minutes","O,B-ent,O,B-ent,I-ent,B-attr,O,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
"There is also the Renmark Irrigation Trust , which supplies water to 4,700 ha","O,O,O,B-ent,I-ent,I-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",supplies water area,area <EOS>,"['supplies', 'water']"
"In Inakadate , the fields used are approximately 15,000 square meters in area","O,B-ent,O,O,O,O,O,O,O,B-qty,I-qty,O,B-attr",area, <EOS>,['area']
"At 11.3 % , Bihar has the second lowest urbanisation rate in India","O,B-qty,I-qty,O,B-ent,O,O,O,B-attr,I-attr,I-attr,O,O",lowest urbanisation rate, <EOS>,"['lowest', 'urbanisation', 'rate']"
"At the time of independence , women 's literacy in Bihar was 4.22 %","O,O,O,O,O,O,B-attr,I-attr,I-attr,O,B-ent,O,B-qty,I-qty",women 's literacy, <EOS>,"['women', ""'s"", 'literacy']"
Bihar government is acquiring 126 acres of land for construction of the new airport,"B-ent,I-ent,O,B-attr,B-qty,I-qty,O,B-attr,O,O,O,O,O,O",land acquiring, <EOS>,"['acquiring', 'land']"
"Bihar is the least literate state in India , with a literacy of 60.82 %","B-ent,O,O,O,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",literacy, <EOS>,['literacy']
Divided Bihar produces 60 % of the output of the undivided Bihar,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,I-attr,O,B-ent",produces  the output, <EOS>,"['produces', 'the', 'output', 'the']"
Literacy in Bihar ( for population over 7 years ) was 60.41 % in 2011,"B-attr,O,B-ent,O,O,O,O,O,O,O,O,B-qty,I-qty,O,O",literacy,literacy <EOS>,['Literacy']
The temperature in Winter all over Bihar varies from 0-10 °C,"O,B-attr,O,B-ent,O,O,B-ent,B-attr,O,B-qty,I-qty",temperature varies, <EOS>,"['temperature', 'varies']"
Today Bihar produces less than 2 % of the sugar of India,"O,B-ent,B-attr,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr",produces the sugar of India, <EOS>,"['produces', 'the', 'sugar', 'of', 'India']"
", Rothenfluh had an unemployment rate of 1.55 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Hadassah 's access to Mount Scopus is lost for the next 19 years,"O,O,B-ent,I-ent,I-ent,I-ent,O,B-attr,O,O,O,B-qty,I-qty",duration lost,duration <EOS>,['lost']
""" Cadbury Castle "" was based at Landore , Swansea for 11 years","O,B-ent,I-ent,O,O,B-attr,O,O,O,O,O,B-qty,I-qty",duration based,duration <EOS>,['based']
"The Slocan Valley is about 105 kilometres long , and 5 to 10 kilometres wide","B-ent,I-ent,I-ent,O,O,B-qty,I-qty,B-attr,O,O,I-qty,I-qty,I-qty,I-qty,I-attr",length and breadth,length breadth <EOS>,"['long', 'wide']"
School calendar The school Colegio Integral El Avila has 200 days of classes,"O,O,O,B-ent,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",duration of classes,duration <EOS>,"['of', 'classes']"
""" Pelaaja "" turned 15 years old in 2017","O,B-ent,O,B-attr,B-qty,I-qty,O,O,O",turned age,age <EOS>,['turned']
Goguryeo progressed and continued to grow stronger under Go Jumong 's reign of 19 years,"O,O,O,O,O,O,O,O,O,B-ent,O,B-attr,O,B-qty,I-qty",reign lasted,lasted <EOS>,['reign']
"The speedway also reconfigured pit road , and added 200 acres of camping","O,B-ent,O,O,O,O,O,O,B-attr,B-qty,I-qty,O,B-attr",camping area added,area <EOS>,"['added', 'camping']"
The mean rise and fall of tides in Ikatan Bay is 4.5 feet,"O,B-attr,I-attr,I-attr,I-attr,O,O,O,B-ent,I-ent,O,B-qty,I-qty",mean rise and fall, <EOS>,"['mean', 'rise', 'and', 'fall']"
Lake Balaton is 10 km north of the village,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance north of the village,distance <EOS>,"['north', 'of', 'the', 'village']"
Korkadu is located at 18 km,"B-ent,O,B-attr,O,B-qty,I-qty",distance,distance <EOS>,['located']
Its subscription rate in Sauda is nearly 100 percent,"O,B-attr,I-attr,O,B-ent,O,O,B-qty,I-qty",subscription rate, <EOS>,"['subscription', 'rate']"
Move Loot earned 50 % of the selling price when items were sold,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,O,O,O,O",earned percent of selling price,percent <EOS>,"['earned', 'the', 'selling', 'price']"
"Googal is 50 km from district headquarters Raichur , and lies in Northwest direction","B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,O,O,O,O,O,O",distance from district headquarters Raichur,distance <EOS>,"['from', 'district', 'headquarters', 'Raichur']"
"Modern "" Eucommia "" trees grow to about 15 m tall","B-ent,I-ent,I-ent,I-ent,I-ent,B-attr,O,O,B-qty,I-qty,I-attr",height,height <EOS>,"['grow', 'tall']"
United Utilities owns around 40 % of the land for water catchment,"B-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O",the land share,share <EOS>,"['the', 'land']"
", Mont-sur-Rolle had an unemployment rate of 5 %","O,O,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
", Stüsslingen had an unemployment rate of 1.7 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Bankura II CD Block has an area of 220.84 km,"B-ent,I-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
"Due to gales , the passage to Newcastle upon Tyne took 22 days","O,O,O,O,O,B-attr,O,B-ent,O,O,B-attr,B-qty,I-qty",passage took, <EOS>,"['passage', 'took']"
"The Late Pleistocene specimen was dated to 28,000 years ago","O,B-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,O",duration dated,duration <EOS>,['dated']
"The Late Pleistocene specimens were dated to 34,000 and 35,000 years ago","O,B-ent,I-ent,O,O,B-attr,O,O,O,B-qty,I-qty,O",duration dated,duration <EOS>,['dated']
Ladir has an unemployment rate of 1.8 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Ano Kastritsi is 4 km to the southeast,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance to the southeast,distance <EOS>,"['to', 'the', 'southeast']"
"With an elevation of 5,610 metres , Mount Damavand is the highest peak in Iran","O,O,B-attr,O,O,B-qty,O,B-ent,I-ent,O,O,O,O,O,O",elevation, <EOS>,['elevation']
", Münchenwiler had an unemployment rate of 1.3 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
The arak is triple distilled and aged for 18 months,"O,B-ent,O,O,O,O,B-attr,O,B-qty,I-qty",aged, <EOS>,['aged']
"Saxony received a yearly payment of £48,000","B-ent,B-attr,O,I-attr,I-attr,O,B-qty",received yearly payment, <EOS>,"['received', 'yearly', 'payment']"
Boundary Peak has a prominence of less than 300 feet,"B-ent,I-ent,O,O,B-attr,O,O,O,B-qty,I-qty",prominence length,length <EOS>,['prominence']
"The Sejm lasted for one day only , or more precisely , six hours","O,B-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O",duration lasted,duration <EOS>,['lasted']
Barcelona 's cultural roots go back 2000 years,"B-ent,I-ent,B-attr,I-attr,I-attr,O,B-qty,I-qty",age,age <EOS>,"['cultural', 'roots', 'go']"
Trains heading to Barcelona leave every 30 minutes and the journey takes 80 minutes,"O,O,O,O,O,O,O,B-qty,O,O,B-ent,B-attr,B-qty,I-qty",duration takes,duration <EOS>,['takes']
Dave Glinka ran 44 yards for his first collegiate touchdown,"B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O",ran yards, <EOS>,['ran']
By air : Nearest airport is Surat which is 14 km from Bamroli,"O,O,O,O,O,O,B-ent,O,O,B-qty,I-qty,B-attr,I-attr",distance from Bamroli,distance <EOS>,"['from', 'Bamroli']"
"By air : the nearest airport is Surat , which is 25 km from Puna","O,O,O,O,O,O,O,B-ent,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Puna,distance <EOS>,"['from', 'Puna']"
Surat city is about 140 km away,"B-ent,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
Hamoukar is about 50 km away to the southeast,"B-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,I-attr",distance to the southeast,distance <EOS>,"['to', 'the', 'southeast']"
Göschenen has an unemployment rate of 0.81 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"The former "" Parthia "" had reached an outstanding age of 86 years","O,O,O,B-ent,O,O,B-attr,O,O,I-attr,O,B-qty,I-qty",reached age, <EOS>,"['reached', 'age']"
"Bürenkhaan , Khentii settlement is 40 km northwest of the Norovlin sum center","B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,O,O,O",ditance northwest,ditance <EOS>,['northwest']
"The Kanangra Falls , a waterfall located on the river , descends in two drops","O,B-ent,I-ent,O,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",volume descends,volume <EOS>,['descends']
The quantum CNOT gate acts on two qubits andat can Quantum entanglement them,"O,B-ent,I-ent,I-ent,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
The distance between Darbas and Shamb is approximately 8 kilometers by road,"O,B-attr,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,I-attr,I-attr",distance by road, <EOS>,"['distance', 'by', 'road']"
Average annual rainfall in Roha is 3450 mm,"B-attr,I-attr,I-attr,O,B-ent,O,B-qty,I-qty",average annual rainfall,average <EOS>,"['Average', 'annual', 'rainfall']"
Kukovyakin was later extradited back to Yekaterinburg and sentenced to 5 years of prison,"B-ent,O,O,O,O,O,O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr",duration of prison sentenced,duration <EOS>,"['sentenced', 'of', 'prison']"
"With an elevation of 430 meters above sea level , Rakhiv is Ukraine highest city","O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr,I-attr,O,B-ent,O,O,O,O",elevation above sea level, <EOS>,"['elevation', 'above', 'sea', 'level']"
Athigaratty is located 10 km from Udagamandalam and 18 km from Coonoor,"B-ent,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Coonoor,distance <EOS>,"['from', 'Coonoor']"
"Excluding the retired senior citizens , Jain literacy rate in India exceeded 97 %","O,O,O,O,O,O,B-ent,B-attr,I-attr,O,B-ent,B-attr,B-qty,I-qty",literacy rate exceeded, <EOS>,"['literacy', 'rate', 'exceeded']"
The family moved to La Rochelle when Benameur was 5 years old,"O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
Vattakudi South is 12 km from the city of Pattukkottai,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",distance from the city of Pattukkottai,distance <EOS>,"['from', 'the', 'city', 'of', 'Pattukkottai']"
The typical tobacco bond lasts 30 years or less and pays interest every year,"O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O",duration lasts,duration <EOS>,['lasts']
Real earnings in Yugoslavia fell by 25 % from 1979 to 1985,"B-attr,I-attr,O,B-ent,B-attr,O,B-qty,I-qty,O,O,O,O",real earnings fell,real <EOS>,"['Real', 'earnings', 'fell']"
Chicks are fed Crop milk by both parents and fledge after about 16 days,"B-ent,O,B-attr,O,O,O,O,O,O,O,O,O,B-qty,I-qty",duration fed,duration <EOS>,['fed']
", Oberentfelden had an unemployment rate of 2.14 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Kitimat 's municipal area is 242.63 km ( 93.69 sq mi ),"B-ent,I-ent,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O",municipal area, <EOS>,"['municipal', 'area']"
The GRIP site was 30 km to the east of GISP2,"O,B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",distance to the east of GISP2,distance <EOS>,"['to', 'the', 'east', 'of', 'GISP2']"
"Therefore , the SAT adds 7 percentage points to our predictive power","O,O,B-ent,I-ent,B-attr,B-qty,I-qty,B-attr,O,O,O,O",adds points, <EOS>,"['adds', 'points']"
", Augst had an unemployment rate of 2.4 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"At the time of the video , bassist Kim Gordon was five months pregnant","O,O,O,O,O,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr",pregnant duration,duration <EOS>,['pregnant']
At the time Vain became the richest money earning two year old in Australia,"O,O,O,O,O,O,B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O",earning age,age <EOS>,['earning']
Altishofen has an unemployment rate of 1.7 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Qalqilya has an average elevation of 57 meters above sea level,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,B-attr,I-attr,I-attr",average elevation above sea level, <EOS>,"['average', 'elevation', 'above', 'sea', 'level']"
", Gempenach had an unemployment rate of 1.4 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Katwa II CD Block has an area of 163.20 km,"B-ent,I-ent,I-ent,I-ent,O,O,B-attr,O,B-qty,I-qty",area, <EOS>,['area']
The 4th generation QRIO 's internal battery lasts about 1 hour,"O,B-ent,I-ent,I-ent,O,B-attr,I-attr,I-attr,O,B-qty,I-qty",internal battery lasts, <EOS>,"['internal', 'battery', 'lasts']"
Al Kharrara waterfall is 30 kilometers to the south of Al Baha,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance to the south of Al Baha,distance <EOS>,"['to', 'the', 'south', 'of', 'Al', 'Baha']"
Haliyal has an average elevation of 559 metres ( 1834 feet ),"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O",average elevation, <EOS>,"['average', 'elevation']"
Krasnoyarsk also produces 20 % of the country 's timber,"B-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr",produces  the country 's timber, <EOS>,"['produces', 'the', 'country', ""'s"", 'timber']"
JSW Energy has 3740 MW of operational generating capacity,"B-ent,I-ent,O,B-qty,O,O,B-attr,I-attr,I-attr",operational generating capacity, <EOS>,"['operational', 'generating', 'capacity']"
"Today , JSW Energy has a power generation capacity of 4531 megawatts","O,O,B-ent,I-ent,O,O,B-attr,I-attr,I-attr,O,B-qty,I-qty",power generation capacity, <EOS>,"['power', 'generation', 'capacity']"
Mohankheda Tirtha is over 132 years old and full of peaceful atmosphere,"B-ent,I-ent,O,O,B-qty,I-qty,O,O,O,O,O,O",age,age <EOS>,[]
"Cryptic Fate spent the better part of two years writing and recording "" Danob ""","B-ent,I-ent,B-attr,O,I-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",spent better part, <EOS>,"['spent', 'better', 'part']"
Seignosse has 70 % forest cover,"B-ent,O,B-qty,I-qty,B-attr,I-attr",forest cover, <EOS>,"['forest', 'cover']"
Seignosse has over 40 km of signposted footpaths in the forest,"B-ent,O,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O",signposted footpaths length,length <EOS>,"['signposted', 'footpaths']"
The enrollment at Avella Area School District is among the lowest 8 % in Pennsylvania,"O,B-attr,O,B-ent,I-ent,I-ent,I-ent,O,O,O,B-attr,B-qty,I-qty,B-attr,I-attr",lowest enrollment in Pennsylvania, <EOS>,"['enrollment', 'lowest', 'in', 'Pennsylvania']"
The range of Hatz Systems extends from 2 kW to several 100 kW power output,"O,O,O,B-ent,I-ent,O,O,B-qty,I-qty,I-qty,O,I-qty,I-qty,B-attr,I-attr",power output, <EOS>,"['power', 'output']"
The total area of the Derbent branch is more than 11 thousand km2,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,I-qty",total area, <EOS>,"['total', 'area']"
In these areas the Rajbhar community constitutes some 18 % of the population,"O,O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,B-attr",population constitutes, <EOS>,"['constitutes', 'population']"
He formed a partnership with Elisha Whittlesey that lasted for twenty years,"O,O,O,B-attr,O,B-ent,I-ent,O,B-attr,O,B-qty,I-qty",partnership lasted, <EOS>,"['partnership', 'lasted']"
The predicted travel time from Gebze to Halkalı is 104 minutes,"O,O,B-attr,I-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",travel time, <EOS>,"['travel', 'time']"
"Quinoa was grown from about 2,300 meters to 3,900 meters","B-ent,O,O,O,O,B-qty,B-attr,I-attr,I-attr,B-qty",grown length,length <EOS>,"['meters', 'to', '3,900']"
""" OXCT1 "" spans a length of over 100 kb and includes 17 Exon","O,B-ent,O,B-attr,O,I-attr,O,O,B-qty,I-qty,O,O,O,O",spans length, <EOS>,"['spans', 'length']"
Bishnu Maden died at age 63 years old,"B-ent,I-ent,B-attr,O,I-attr,B-qty,I-qty,O",died age, <EOS>,"['died', 'age']"
"Within the last glacial period the Last Glacial Maximum was approximately 22,000 years ago","O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O",duration,duration <EOS>,[]
"His family relocated to Norristown , Pennsylvania , Pennsylvania when Zender was seven years old","O,O,O,O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
"Scheduled arrival at the P&W Norristown , Pennsylvania station was 1 hr 38 minutes later","O,B-attr,O,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty,O,O,O",scheduled arrival,scheduled <EOS>,['arrival']
Rampura Agucha is 17 km southeast of Bijainagar on NH 79,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr,I-attr",distance southeast of Bijainagar on NH 79,distance <EOS>,"['southeast', 'of', 'Bijainagar', 'on', 'NH', '79']"
Bernie Sanders received 5.7 % of the vote,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",received the vote, <EOS>,"['received', 'the', 'vote']"
Golkar secured 62.8 % of the popular vote,"B-ent,B-attr,B-qty,I-qty,O,O,B-attr,I-attr",secured popular vote, <EOS>,"['secured', 'popular', 'vote']"
", Bellikon had an unemployment rate of 1.49 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"During the conflict , the citizens of Stralsund burned three clergy at the stake","O,O,O,O,O,O,O,B-ent,B-attr,B-qty,I-qty,O,O,O",number of clergy burned,number <EOS>,['burned']
Famaillá has a total area of 427 km²,"B-ent,O,O,B-attr,I-attr,O,B-qty,O",total area, <EOS>,"['total', 'area']"
The literacy rate among the urban people of Barisal is 75.3 %,"O,B-attr,I-attr,O,B-ent,I-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty",literacy rate, <EOS>,"['literacy', 'rate']"
The largest virgin stand of southern taiga in the Kologrivsky Reserve is only 918 ha,"O,B-ent,I-ent,I-ent,O,O,I-ent,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty",area,area <EOS>,[]
The taiga covers about 20 % of the total area of Quebec,"O,B-ent,B-attr,O,B-qty,I-qty,O,O,B-attr,I-attr,I-attr,I-attr",total area of Quebec, <EOS>,"['covers', 'total', 'area', 'of', 'Quebec']"
The median / average age of the people in Mitcham is 38 years of age,"O,O,O,B-attr,I-attr,O,O,O,O,B-ent,O,B-qty,I-qty,O,O",average age, <EOS>,"['average', 'age']"
Some Linear Pottery culture houses were occupied for as long as 30 years,"O,B-ent,I-ent,I-ent,I-ent,O,B-attr,O,O,O,O,B-qty,I-qty",duration occupied,duration <EOS>,['occupied']
Azamgarh has an average elevation of 64 metres ( 209 feet ),"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O",average elevation, <EOS>,"['average', 'elevation']"
Distance from Augusta to Margaret River is 42 km and 90 km to Busselton,"B-attr,O,B-ent,B-attr,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance to Busselton,distance <EOS>,"['Distance', 'to', 'to', 'Busselton']"
Juice Robinson had the shortest reign at 85 days with no successful title defenses,"B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O",shortest reign, <EOS>,"['shortest', 'reign']"
Average life expectancy as estimated by the United Nations is 59 years,"B-attr,I-attr,I-attr,O,O,O,O,B-ent,I-ent,O,B-qty,I-qty",average life expectancy,average <EOS>,"['Average', 'life', 'expectancy']"
"Each year , the United Nations announces a uniting theme for official events","O,O,O,B-ent,I-ent,I-ent,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
Loch Garry is 11 km long and 50 m deep,"B-ent,I-ent,O,O,O,O,O,B-qty,I-qty,B-attr",depth,depth <EOS>,['deep']
