preds,ground_truth,Tags
duration ,recitation duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'O', 'B-ent', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O']"
duration signed,development duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty']"
 achieved,achieved efficiency,"['O', 'O', 'O', 'B-ent', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
amount fell,amount fell,"['O', 'B-ent', 'I-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
shares surged,shares surge,"['O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
unknown gave,unknown,"['B-ent', 'I-ent', 'O', 'B-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
length breadth land,breadth,"['O', 'O', 'O', 'O', 'O', 'B-qty', 'O', 'O', 'I-qty', 'I-qty', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration served prison,prison duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration spent on the based Billboard 200 chart duration,duration spent on  USA - based Billboard 200 album chart,"['O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'O', 'B-ent', 'I-ent', 'O', 'O', 'B-attr', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'O', 'O', 'I-attr', 'I-attr', 'I-attr', 'O', 'I-attr', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O']"
unknown ,number of putto,"['O', 'O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 speeds increased,speed increase,"['O', 'B-attr', 'O', 'B-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'I-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
mass fired munitions munitions,total Axis munitions consumption,"['B-ent', 'I-ent', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O']"
 rushed,rushing yards,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
amount ,extra amount asked the club,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 reached supply diesel fuel,daily diesel fuel supplied,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'I-attr', 'O']"
duration lost,loss narrowed duration,"['O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-qty', 'O']"
 reduced ordered,price reduction,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O']"
 clinch outright semis slot,outright semis slot,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'I-qty', 'B-attr', 'B-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance to its east Aroania the,east distance,"['O', 'O', 'O', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'I-attr', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O']"
 area,area,"['B-ent', 'I-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
distance northeast of Innsbruck,distance northeast of Innsbruck,"['O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 passed ran,passing yards,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 ,electronic percentage,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
duration scored,goal minute duration,"['B-ent', 'I-ent', 'B-attr', 'O', 'B-qty', 'O', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 stock risen,stock rise,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'B-qty', 'I-qty']"
distance nearest,distance to nearest village,"['B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'I-ent', 'O', 'B-qty', 'I-qty', 'O']"
 owned stake,stake share,"['O', 'I-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 found high school dropout rate,high school dropout rate,"['O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-qty', 'I-qty']"
unknown franchise,unknown,"['B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 rush,rushing yards,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty']"
 unemployment rate,unemployment rate,"['B-ent', 'B-ent', 'I-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 monthly social reach shares,monthly social reach shares,"['O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'I-qty', 'I-attr']"
distance from from state highway 211,distance from state highway 211,"['B-ent', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr']"
duration took,duration took,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'B-attr', 'O', 'B-qty', 'I-qty']"
area provided land kibbutz,provided land area,"['O', 'I-ent', 'I-ent', 'I-ent', 'B-attr', 'B-qty', 'I-qty', 'O', 'I-attr', 'O', 'O', 'I-attr']"
time averaging game,averaging game duration in playoffs,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
angle located,latitude angle,"['O', 'O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'O', 'O', 'B-qty', 'I-qty', 'O']"
distance west to the district headquarters Raichur,distance west to the district headquarters Raichur,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 economic,economic literature indexed duration,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'B-ent', 'B-qty', 'I-qty', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O']"
duration sentenced,prison duration,"['O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 aggregate score,Playstation version aggregate score,"['B-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 garnered score,garnered score,"['B-ent', 'I-ent', 'B-attr', 'O', 'I-attr', 'O', 'B-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 age,age,"['O', 'B-attr', 'O', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'I-qty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ent', 'O', 'O', 'B-qty', 'I-qty', 'O']"
 total area,total area,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
unknown struck,unknown,"['O', 'B-ent', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
 unemployment rate,unemployment rate,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 unemployment rate,unemployment rate,"['B-ent', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
 distance,distance from Raipur,"['B-ent', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'B-qty', 'I-qty']"
 experience in spaceflight,spaceflight experience,"['O', 'B-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
duration lasted,duration lasted,"['O', 'B-ent', 'I-ent', 'B-attr', 'O', 'O', 'O', 'B-qty', 'I-qty']"
distance east of Gjakova,distance east of Gjakova,"['B-ent', 'I-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
 discount rate,discount rate,"['B-ent', 'I-ent', 'O', 'B-attr', 'I-attr', 'O', 'B-qty', 'I-qty']"
distance ,distance,"['O', 'B-ent', 'I-ent', 'O', 'O', 'B-qty', 'I-qty', 'O']"
distance north of Knoxville,distance north of Knoxville,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr']"
 weighs,weighs,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'B-qty', 'I-qty']"
duration married,duration married,"['O', 'O', 'O', 'B-ent', 'O', 'B-attr', 'B-qty', 'I-qty']"
distance from District headquarters Bidar,distance from District headquarters Bidar,"['B-ent', 'O', 'B-qty', 'I-qty', 'B-attr', 'I-attr', 'I-attr', 'I-attr']"
unknown ,unknown,"['O', 'O', 'B-ent', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
age ,age,"['O', 'O', 'O', 'B-ent', 'I-ent', 'O', 'B-qty', 'I-qty', 'O']"
